Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ES-2015-2801336,42157,42161,Standard Class,DB-13270,Deborah Brumfield,Home Office,Barcelona,Catalonia,Spain,South,OFF-BI-10002225,Office Supplies,Binders,"Cardinal Binding Machine, Durable",102.54000000000002,2,0,35.880000000000003
ES-2015-3186072,42275,42279,Standard Class,CA-12265,Christina Anderson,Consumer,Littlehampton,England,United Kingdom,North,TEC-CO-10000620,Technology,Copiers,"Brother Wireless Fax, Digital",1892.2500000000002,5,0,170.25
ES-2015-3186072,42275,42279,Standard Class,CA-12265,Christina Anderson,Consumer,Littlehampton,England,United Kingdom,North,TEC-AC-10004203,Technology,Accessories,"Logitech Flash Drive, Bluetooth",122.03999999999998,4,0,52.44
ES-2015-3186072,42275,42279,Standard Class,CA-12265,Christina Anderson,Consumer,Littlehampton,England,United Kingdom,North,TEC-CO-10001596,Technology,Copiers,"Brother Wireless Fax, Color",1140.75,3,0,239.49
ES-2015-5235241,42243,42244,Same Day,TB-21175,Thomas Boland,Corporate,Taverny,Ile-de-France,France,Central,OFF-SU-10004818,Office Supplies,Supplies,"Stiletto Trimmer, Steel",84.300000000000011,2,0,28.619999999999997
ES-2015-5235241,42243,42244,Same Day,TB-21175,Thomas Boland,Corporate,Taverny,Ile-de-France,France,Central,TEC-CO-10004034,Technology,Copiers,"Canon Fax Machine, High-Speed",538.20300000000009,2,0.15,-19.016999999999996
ES-2015-5235241,42243,42244,Same Day,TB-21175,Thomas Boland,Corporate,Taverny,Ile-de-France,France,Central,OFF-AR-10000319,Office Supplies,Art,"Binney & Smith Canvas, Fluorescent",157.85999999999999,3,0,29.97
ES-2015-4620955,42347,42349,Second Class,VM-21835,Vivian Mathis,Consumer,Karlsruhe,Baden-Württemberg,Germany,Central,OFF-AR-10001269,Office Supplies,Art,"BIC Markers, Water Color",59.22,2,0,20.700000000000003
ES-2015-4620955,42347,42349,Second Class,VM-21835,Vivian Mathis,Consumer,Karlsruhe,Baden-Württemberg,Germany,Central,OFF-ST-10001426,Office Supplies,Storage,"Eldon Folders, Single Width",45.927,3,0.1,18.837000000000003
ES-2015-5220738,42360,42362,Second Class,Co-12640,Corey-Lock,Consumer,Mansfield,England,United Kingdom,North,OFF-PA-10003937,Office Supplies,Paper,"Green Bar Memo Slips, Recycled",50.58,3,0,9.09
ES-2015-5220738,42360,42362,Second Class,Co-12640,Corey-Lock,Consumer,Mansfield,England,United Kingdom,North,OFF-AR-10002902,Office Supplies,Art,"Sanford Canvas, Water Color",107.4,2,0,0
ES-2015-5287434,42095,42099,Standard Class,SA-20830,Sue Ann Reed,Consumer,Newcastle upon Tyne,England,United Kingdom,North,OFF-AR-10003651,Office Supplies,Art,"Sanford Pens, Easy-Erase",34.11,3,0,7.83
ES-2015-5287434,42095,42099,Standard Class,SA-20830,Sue Ann Reed,Consumer,Newcastle upon Tyne,England,United Kingdom,North,FUR-BO-10004129,Furniture,Bookcases,"Sauder Classic Bookcase, Pine",2624.04,6,0,446.04
ES-2015-5287434,42095,42099,Standard Class,SA-20830,Sue Ann Reed,Consumer,Newcastle upon Tyne,England,United Kingdom,North,OFF-ST-10001758,Office Supplies,Storage,"Rogers Lockers, Blue",423.24,2,0,29.58
ES-2015-4932761,42143,42149,Standard Class,SO-20335,Sean O'Donnell,Consumer,Vienna,Vienna,Austria,Central,OFF-ST-10000095,Office Supplies,Storage,"Fellowes File Cart, Industrial",964.5300000000002,7,0,125.37
ES-2015-4932761,42143,42149,Standard Class,SO-20335,Sean O'Donnell,Consumer,Vienna,Vienna,Austria,Central,FUR-FU-10004608,Furniture,Furnishings,"Advantus Door Stop, Erganomic",87.300000000000011,2,0,27.06
ES-2015-4932761,42143,42149,Standard Class,SO-20335,Sean O'Donnell,Consumer,Vienna,Vienna,Austria,Central,FUR-CH-10003362,Furniture,Chairs,"Office Star Swivel Stool, Adjustable",1058.5800000000002,6,0,105.84
ES-2015-3805636,42295,42302,Standard Class,GT-14710,Greg Tran,Consumer,Barcelona,Catalonia,Spain,South,OFF-ST-10002608,Office Supplies,Storage,"Eldon Box, Industrial",38.663999999999994,4,0.1,11.544
ES-2015-3805636,42295,42302,Standard Class,GT-14710,Greg Tran,Consumer,Barcelona,Catalonia,Spain,South,FUR-BO-10004053,Furniture,Bookcases,"Dania Library with Doors, Metal",723.72,2,0,253.26
ES-2015-3805636,42295,42302,Standard Class,GT-14710,Greg Tran,Consumer,Barcelona,Catalonia,Spain,South,FUR-CH-10004462,Furniture,Chairs,"Hon Executive Leather Armchair, Adjustable",1838.5199999999998,5,0.2,160.77000000000004
ES-2015-1406120,42342,42342,Same Day,LR-17035,Lisa Ryan,Corporate,Hamburg,Hamburg,Germany,Central,TEC-PH-10000160,Technology,Phones,"Motorola Smart Phone, with Caller ID",3227.7,5,0,742.35
ES-2015-1406120,42342,42342,Same Day,LR-17035,Lisa Ryan,Corporate,Hamburg,Hamburg,Germany,Central,TEC-MA-10000946,Technology,Machines,"Panasonic Calculator, Red",379.44,8,0,128.88
ES-2015-1406120,42342,42342,Same Day,LR-17035,Lisa Ryan,Corporate,Hamburg,Hamburg,Germany,Central,OFF-BI-10004801,Office Supplies,Binders,"Acco Binding Machine, Durable",52.59,1,0,12.600000000000001
ES-2015-1406120,42342,42342,Same Day,LR-17035,Lisa Ryan,Corporate,Hamburg,Hamburg,Germany,Central,FUR-BO-10001165,Furniture,Bookcases,"Bush Library with Doors, Mobile",990.46800000000019,3,0.1,242.02799999999991
ES-2015-1406120,42342,42342,Same Day,LR-17035,Lisa Ryan,Corporate,Hamburg,Hamburg,Germany,Central,FUR-FU-10004954,Furniture,Furnishings,"Tenex Clock, Duo Pack",50.31,1,0,19.11
ES-2015-1406120,42342,42342,Same Day,LR-17035,Lisa Ryan,Corporate,Hamburg,Hamburg,Germany,Central,FUR-CH-10002335,Furniture,Chairs,"Hon Steel Folding Chair, Red",219.834,3,0.1,90.323999999999998
ES-2015-1720401,42053,42059,Standard Class,KH-16630,Ken Heidel,Corporate,Beaune,Bourgogne-Franche-Comté,France,Central,OFF-FA-10003463,Office Supplies,Fasteners,"OIC Thumb Tacks, Assorted Sizes",34.56,3,0,13.77
ES-2015-2377967,42059,42063,Standard Class,JC-16105,Julie Creighton,Corporate,Namur,Namur,Belgium,Central,OFF-BI-10002172,Office Supplies,Binders,"Acco Binding Machine, Recycled",308.7,6,0,77.039999999999992
ES-2015-2377967,42059,42063,Standard Class,JC-16105,Julie Creighton,Corporate,Namur,Namur,Belgium,Central,FUR-BO-10000002,Furniture,Bookcases,"Bush Classic Bookcase, Mobile",2075.9999999999995,5,0,103.79999999999998
ES-2015-2377967,42059,42063,Standard Class,JC-16105,Julie Creighton,Corporate,Namur,Namur,Belgium,Central,TEC-CO-10003597,Technology,Copiers,"Brother Copy Machine, High-Speed",524.58000000000004,2,0,57.66
IT-2015-1900372,42274,42279,Standard Class,MC-17425,Mark Cousins,Corporate,Wiesbaden,Hesse,Germany,Central,OFF-ST-10001562,Office Supplies,Storage,"Fellowes Box, Industrial",54.432000000000016,3,0.1,-3.0780000000000021
IT-2015-1900372,42274,42279,Standard Class,MC-17425,Mark Cousins,Corporate,Wiesbaden,Hesse,Germany,Central,OFF-AR-10001269,Office Supplies,Art,"BIC Markers, Water Color",236.88,8,0,82.800000000000011
ES-2015-1749151,42169,42174,Second Class,LC-16870,Lena Cacioppo,Consumer,Vitry-sur-Seine,Ile-de-France,France,Central,OFF-AR-10001462,Office Supplies,Art,"Stanley Highlighters, Fluorescent",47.879999999999995,3,0,17.64
ES-2015-1749151,42169,42174,Second Class,LC-16870,Lena Cacioppo,Consumer,Vitry-sur-Seine,Ile-de-France,France,Central,OFF-BI-10000972,Office Supplies,Binders,"Acco 3-Hole Punch, Economy",271.08000000000004,9,0,51.3
